year,tot_words,avg_obit_length
1987,621291,102.913864502
1988,670291,319.338256313
1989,780667,322.990070335
1990,910894,327.895608351
1991,761684,321.792986903
1992,690958,395.058890795
1993,711415,392.613134658
1994,644288,408.294043093
1995,787010,467.345605701
1996,813467,537.651685393
1997,845824,620.560528247
1998,876837,690.422834646
1999,868109,677.152106084
2000,850447,691.420325203
2001,741087,691.957983193
2002,750033,715.680343511
2003,634259,693.179234973
2004,592110,739.213483146
2005,678075,786.629930394
2006,685394,806.345882353
